Type,Lots,EntryBarNum,ExitBarNum,OrderPrice,ExitLimitPrice
LONG,304.63,367,482,23.22,25.22
LONG,429.47,508,693,24.94,26.27
LONG,2791.4,767,772,24.24,25.73
LONG,1297.51,773,856,25.36,23.61
SHORT,1261.46,943,960,22.35,21.56
SHORT,850.05,961,962,21.29,20.27
SHORT,678.29,963,1104,20.48,23.58
LONG,3760.79,1103,1107,23.0,23.86
LONG,1949.9,1108,1192,23.64,24.4
SHORT,3164.97,1130,1150,22.41,23.14
LONG,1026.35,1199,1206,24.65,25.75
LONG,650.27,1207,1339,26.16,22.34
SHORT,884.57,1593,1600,19.65,19.04
SHORT,710.88,1601,1628,18.77,18.14
SHORT,674.99,1629,1632,18.14,16.83
SHORT,520.37,1633,1646,16.9,16.18
SHORT,525.02,1647,1744,16.71,21.41
LONG,4392.28,1722,1745,20.46,21.64
LONG,1301.82,1746,1771,21.76,19.24
SHORT,3982.19,1770,1772,20.08,18.79
SHORT,1574.92,1773,1814,19.03,20.64
LONG,3880.68,1805,1826,19.98,21.19
LONG,803.47,1830,1888,22.56,23.74
LONG,670.37,1889,2014,23.35,20.14
SHORT,5702.94,2122,2131,21.03,20.38
SHORT,2382.14,2132,2353,20.36,19.94
LONG,4978.17,2161,2177,21.4,20.89
LONG,1301.51,2410,2417,22.47,23.17
LONG,931.47,2418,2439,23.32,24.0
LONG,768.24,2440,2463,24.02,25.03
LONG,680.56,2464,2545,24.61,25.42
LONG,2551.8,2612,2634,23.21,22.13
SHORT,5412.53,2618,2660,22.66,21.62
SHORT,1705.55,2661,2741,21.73,21.08
SHORT,1295.9,2783,2847,21.46,23.57
LONG,5653.81,2827,2884,23.01,22.19
LONG,6843.24,3015,3017,22.17,21.68
SHORT,5330.78,3016,3042,21.91,22.46
SHORT,2039.74,3052,3068,21.13,20.45
SHORT,1378.18,3069,3374,20.48,20.15
SHORT,3088.98,3436,3441,19.84,19.46
SHORT,2107.82,3442,3449,19.42,18.99
SHORT,1772.4,3450,3531,19.17,20.63
LONG,3081.83,3580,3590,20.86,21.28
LONG,2010.93,3591,3710,21.31,21.7
SHORT,3828.66,3738,3786,19.93,19.32
LONG,5474.2,3766,3777,20.59,20.04
SHORT,1582.21,3787,3836,19.04,18.29
SHORT,1008.93,3837,3843,17.96,16.92
SHORT,746.75,3844,3846,17.0,16.29
SHORT,445.13,3847,4107,14.57,16.8
LONG,2136.26,4129,4310,17.26,18.06
LONG,1310.31,4311,4324,17.9,18.54
LONG,1064.57,4325,4335,18.46,19.3
LONG,1292.61,4336,4339,18.06,18.93
LONG,763.21,4340,4475,19.53,20.24
LONG,992.05,4491,4505,20.2,21.2
LONG,729.91,4506,4523,21.23,22.38
